FID_1,Nat_EMIS_N,GIS_Long,GIS_Lat,SP_Name,Name,Sector,PASSRATE,Employed,Unemployed,Notactive,FemaleHead,african,Coloured,Indian,White,Owned,Telephone,Easting,Northing
217,104312245,18.445670,-34.196928,Simon's Town SP1,SIMON'S TOWN,PUBLIC,96.9,45,4,23,16,0,7,4,89,58,85,-51093.474429,-3785644.433480
215,104313491,18.349148,-34.149474,Ocean View,OCEAN VIEW,PUBLIC,78.4,36,11,18,44,2,98,0,0,66,58,-60023.780506,-3780433.038690
213,104373427,18.377823,-34.131674,Masiphumelele,MASIPHUMELELE,PUBLIC,82.4,32,30,11,32,94,3,0,3,5,35,-57391.268871,-3778442.038850
36,104314201,18.419000,-34.134073,Fish Hoek SP,FISH HOEK,PUBLIC,100.0,36,3,23,29,1,2,1,97,66,92,-53591.427811,-3778685.774430
5,105313904,18.343034,-34.053080,Hout Bay Harbour,HOUTBAAI,PUBLIC,83.0,36,13,18,35,4,94,0,2,46,55,-60656.385814,-3769743.959160
214,104310265,18.476996,-34.097474,Muizenberg SP,MUIZENBERG,PUBLIC,92.5,35,14,20,33,27,35,1,36,58,45,-48262.604801,-3774597.064850
218,105313521,18.472873,-34.071063,Steenberg,STEENBERG,PUBLIC,90.3,34,10,23,34,4,80,1,15,84,80,-48658.182924,-3771669.361700
230,105310323,18.458746,-34.059614,Dreyersdal,ZWAANSWYK,PUBLIC,92.9,39,2,22,40,1,8,0,91,72,95,-49968.956515,-3770406.187960
220,105483613,18.427881,-34.047864,Porter Reform Estate,CAPE,PUBLIC,101.0,41,3,30,20,4,4,0,92,72,93,-52825.798791,-3769118.308240
216,105313106,18.472927,-34.064616,Retreat,SIBELIUS,PUBLIC,89.1,35,9,23,39,2,95,1,2,71,71,-48656.883519,-3770954.200110
211,105313599,18.477958,-34.063084,Retreat,CRESTWAY,PUBLIC,76.6,35,9,23,39,2,95,1,2,71,71,-48193.307857,-3770781.880820
212,105313661,18.487880,-34.067073,Lavender Hill,LAVENDER HILL,PUBLIC,58.1,25,15,25,48,2,98,0,0,35,47,-47275.114780,-3771219.731320
222,105313467,18.466472,-34.051883,Heathfield,HEATHFIELD,PUBLIC,81.9,45,5,22,29,2,73,2,23,73,88,-49260.150851,-3769544.878350
219,105310201,18.452426,-34.041043,Meadowridge,BERGVLIET,PUBLIC,98.7,40,2,26,16,1,5,0,93,86,98,-50563.453733,-3768349.301130
221,105000822,18.437892,-34.030779,Sillery,CONSTANTIA WALDORF,INDEPENDENT,100.0,40,1,27,21,3,6,1,90,82,95,-51911.803831,-3767218.042030
72,103315605,18.357200,-34.019189,Hout Bay SP,DOMINICAN GRIMLEY,PUBLIC,0.0,48,2,21,28,2,3,0,95,70,93,-59372.053755,-3765976.257530
233,105313408,18.497029,-34.050969,Grassy Park SP,GRASSY PARK,PUBLIC,75.8,39,6,24,27,3,94,2,1,71,80,-46439.321350,-3769429.203180
225,105313351,18.461666,-34.029293,Plumstead,SOUTH PENINSULA,PUBLIC,100.0,45,4,21,31,2,19,3,76,68,89,-49717.068996,-3767041.407630
232,105313815,18.504100,-34.043200,Grassy Park SP,GRASSDALE HOER,PUBLIC,90.1,39,6,24,27,3,94,2,1,71,80,-45790.625677,-3768564.241790
231,105313769,18.498812,-34.036497,Parkwood,FAIRMOUNT,PUBLIC,77.9,28,15,22,54,1,99,0,0,22,58,-46282.556730,-3767823.092080
236,106493406,18.553198,-34.076812,Strandfontein Village,STRANDFONTEIN,PUBLIC,89.8,42,6,19,19,2,96,2,1,92,85,-41240.673192,-3772271.764190
