Annual,Year,Pre1905
1120,1871,1
1160,1872,1
963,1873,1
1210,1874,1
1160,1875,1
1160,1876,1
813,1877,1
1230,1878,1
1370,1879,1
1140,1880,1
995,1881,1
935,1882,1
1110,1883,1
994,1884,1
1020,1885,1
960,1886,1
1180,1887,1
799,1888,1
958,1889,1
1140,1890,1
1100,1891,1
1210,1892,1
1150,1893,1
1250,1894,1
1260,1895,1
1220,1896,1
1030,1897,1
1100,1898,1
774,1899,1
840,1900,1
874,1901,1
694,1902,0
940,1903,0
833,1904,0
701,1905,0
916,1906,0
692,1907,0
1020,1908,0
1050,1909,0
969,1910,0
831,1911,0
726,1912,0
456,1913,0
824,1914,0
702,1915,0
1120,1916,0
1100,1917,0
832,1918,0
764,1919,0
821,1920,0
768,1921,0
845,1922,0
864,1923,0
862,1924,0
698,1925,0
845,1926,0
744,1927,0
796,1928,0
1040,1929,0
759,1930,0
781,1931,0
865,1932,0
845,1933,0
944,1934,0
984,1935,0
897,1936,0
822,1937,0
1010,1938,0
771,1939,0
676,1940,0
649,1941,0
846,1942,0
812,1943,0
742,1944,0
801,1945,0
1040,1946,0
860,1947,0
874,1948,0
848,1949,0
890,1950,0
744,1951,0
749,1952,0
838,1953,0
1050,1954,0
918,1955,0
986,1956,0
797,1957,0
923,1958,0
975,1959,0
815,1960,0
1020,1961,0
906,1962,0
901,1963,0
1170,1964,0
912,1965,0
746,1966,0
919,1967,0
718,1968,0
714,1969,0
740,1970,0
